Wrong,Type,Right,List
and,~~,and,"['wend', 'shed', 'sod', 'and', 'as', 'end', 'buns', 'amd', 'once', 'und']"
and,~~,and,"['on', 'at', 'a', 'and', 'amd', 'ant', 'end', 'und', 'andf', 'ad']"
and,~~,and,"['on', 'at', 'she', 'and', 'amd', 'ant', 'end', 'und', 'andf', 'ad']"
and,~~,and,"['bpd', 'aimed', 'mad', 'moans', 'abode', 'aim', 'stand', 'and', 'en', 'babe']"
and,~~,and,"['canst', 'm', 'am', 'amts', 'st', 'was', 'had', 'and', 'us', 'has']"
and,~~,and,"['canst', 'm', 'am', 'amts', 'st', 'was', 'had', 'and', 'us', 'has']"
and,~~,and,"['sed', 'as', 'done', 'mad', 'and', 'ads', 'hand', 'am', 'be', 'buns']"
and,~~,and,"['sed', 'as', 'done', 'mad', 'and', 'ads', 'hand', 'am', 'be', 'buns']"
and,~~,and,"['wend', 'shed', 'sod', 'and', 'as', 'end', 'buns', 'amd', 'once', 'und']"
and,~~,and,"['of', 'on', 'as', 'and', 'amd', 'ant', 'end', 'und', 'andf', 'ad']"
and,~~,and,"['amid', 'nuns', 'at', 'and', 'end', 'leans', 'mend', 'of', 'us', 'was']"
ann,~~,ann,"['ene', 'sin', 'damn', 'ebb', 'man', 'oh', 'and', 'ann', 'sun', 'on']"
any,~~,any,"['a', 'not', 'none', 'any', 'an', 'one', 'and', 'many', 'only', 'ant']"
any,~~,any,"['a', 'and', 'my', 'any', 'an', 'one', 'ant', 'many', 'by', 'at']"
apply,~~,apply,"['applaud', 'apply', 'haply', 'apple', 'supply', 'happily', 'spy', 'apples', 'amply', 'aptly']"
are,~~,are,"['of', 'as', 'the', 'were', 'or', 'are', 'bare', 'ate', 'ere', 'ore']"
are,~~,are,"['the', 'we', 'of', 'are', 'ate', 'ere', 'ore', 'ard', 'ar', 'area']"
are,~~,are,"['the', 's', 'we', 'are', 'word', 'ate', 'ere', 'ore', 'ard', 'ar']"
are,~~,are,"['as', 'the', 'were', 'are', 'ate', 'ere', 'ore', 'ard', 'ar', 'area']"
are,~~,are,"['the', 'a', 'she', 'are', 'ate', 'ere', 'ore', 'ard', 'ar', 'area']"
are,~~,are,"['the', 'of', 'at', 'are', 'or', 'ate', 'a', 'ere', 'ore', 'seed']"
arm,~~,arm,"['ear', 'hat', 'arms', 'arm', 'atm', 'and', 'am', 'ar', 'army', 'arme']"
arms,~~,arms,"['at', 'arms', 'armes', 'arm's', 'arm', 'arme', 'urns', 'amd', 'armed', 'ard']"
as,~~,as,"['of', 'and', 'a', 'as', 'ad', 'es', 'os', 'us', 'ax', 'on']"
as,~~,as,"['on', 'at', 'and', 'as', 'ad', 'es', 'os', 'us', 'ax', 'asw']"
as,~~,as,"['had', 'of', 'an', 'now', 'as', 'ad', 'es', 'os', 'us', 'ax']"
as,~~,as,"['was', 'and', 'is', 'as', 'has', 'said', 'had', 'a', 'ad', 'es']"
as,~~,as,"['and', 's', 'was', 'at', 'said', 'also', 'as', 'ad', 'es', 'os']"
as,~~,as,"['s', 'and', 'was', 'as', 'is', 'had', 'of', 'has', 'ad', 'at']"
as,~~,as,"['and', 'at', 'had', 'is', 'as', 'ad', 'es', 'os', 'us', 'ax']"
as,~~,as,"['of', 'is', 'was', 'as', 'a', 's', 'and', 'has', 'ad', 'es']"
at,~~,at,"['to', 'out', 'up', 'on', 'and', 'away', 'at', 'a', 'not', 'ar']"
at,~~,at,"['of', 'that', 'and', 's', 'to', 'had', 'at', 'or', 'a', 'is']"
at,~~,at,"['of', 'that', 'and', 's', 'to', 'had', 'at', 'or', 'a', 'is']"
at,~~,at,"['and', 'a', 'but', 'by', 'at', 'ar', 'ay', 'st', 'ad', 'et']"
at,~~,at,"['and', 'sort', 'to', 'for', 'of', 'at', 'as', 'ar', 'ay', 'st']"
at,~~,at,"['last', 's', 'my', 'at', 'ar', 'ay', 'st', 'ad', 'et', 'ot']"
at,~~,at,"['for', 'a', 'to', 'at', 'ar', 'ay', 'st', 'ad', 'et', 'ot']"
at,~~,at,"['and', 'day', 'a', 'to', 'of', 'at', 'ar', 'ay', 'st', 'or']"
at,~~,at,"['and', 'to', 'a', 'of', 'at', 'as', 'that', 'ar', 'ay', 'st']"
at,~~,at,"['of', 'that', 'and', 's', 'or', 'had', 'to', 'at', 'sat', 'but']"
at,~~,at,"['and', 'to', 'that', 'at', 'ar', 'ay', 'st', 'ad', 'et', 'ot']"
at,~~,at,"['to', 'and', 'for', 'by', 'at', 'it', 'a', 'or', 'but', 'as']"
at,~~,at,"['and', 'that', 'for', 'any', 'had', 'may', 'so', 'at', 'ar', 'ay']"
at,~~,at,"['is', 'are', 'a', 'at', 'and', 's', 'or', 'but', 'for', 'ar']"
at,~~,at,"['way', 'near', 'on', 'at', 'and', 'by', 'of', 'for', 'to', 'or']"
at,~~,at,"['and', 'to', 'a', 'so', 'of', 'at', 'ye', 'ar', 'ay', 'st']"
at,~~,at,"['of', 'is', 'for', 'at', 'on', 'hard', 'out', 'as', 'had', 'bad']"
at,~~,at,"['and', 'a', 'to', 'that', 'or', 'as', 'at', 's', 'but', 'ar']"
at,~~,at,"['and', 'to', 'a', 'of', 'at', 'as', 'that', 'ar', 'ay', 'st']"
at,~~,at,"['and', 'to', 'sort', 'for', 'of', 'at', 'as', 'ar', 'ay', 'st']"
at,~~,at,"['ago', 'and', 'of', 'old', 'to', 'at', 'or', 'are', 'a', 'had']"
at,~~,at,"['and', 'to', 'a', 'for', 'at', 'that', 'but', 'may', 'nor', 'ar']"
at,~~,at,"['and', 'as', 'by', 'at', 'ar', 'ay', 'st', 'ad', 'et', 'ot']"
at,~~,at,"['of', 'or', 'am', 'at', 'is', 'and', 'as', 's', 'had', 'put']"
ate,~~,ate,"['sat', 'are', 'ate', 'at', 'were', 'aye', 'age', 'acte', 'ante', 'eate']"
aunt,~~,aunt,"['it', 'aunt', 'in', 'aint', 'sunt', 'ant', 'aunts', 'went', 'sent', 'sung']"
away,~~,away,"['what', 'as', 'away', 'say', 'sway', 'awaye', 'alway', 'at', 'await', 'seat']"
baby,~~,baby,"['body', 'baby', 'boy', 'babe', 'bay', 'navy', 'bevy', 'bane', 'bony', 'badge']"
baby,~~,baby,"['none', 'baby', 'babe', 'bay', 'navy', 'bevy', 'bane', 'bony', 'bogy', 'bandy']"
baby,~~,baby,"['body', 'boy', 'baby', 'babe', 'badge', 'bay', 'navy', 'bevy', 'bane', 'bony']"
baby,~~,baby,"['babe', 'baby', 'bay', 'navy', 'bevy', 'bane', 'bony', 'bogy', 'bandy', 'bat']"
baby,~~,baby,"['babe', 'baby', 'bay', 'navy', 'bevy', 'bane', 'bony', 'bogy', 'bandy', 'bat']"
baby,~~,baby,"['babe', 'baby', 'bay', 'navy', 'bevy', 'bane', 'bony', 'bogy', 'bandy', 'bat']"
baby,~~,baby,"['boy', 'baby', 'babe', 'bay', 'navy', 'bevy', 'bane', 'bony', 'bogy', 'bandy']"
baby,~~,baby,"['band', 'baby', 'babe', 'boy', 'age', 'bay', 'navy', 'bevy', 'bane', 'bony']"
baby's,~~,baby's,"['babes', 'baby's', 'baby', 'bays', 'bats', 'babies', 'bans']"
bad,~~,bad,"['of', 'and', 'bad', 'bas', 'bed', 'bud', 'bat', 'bae', 'bads', 'bade']"
bag,~~,bag,"['bed', 'bag', 'big', 'bad', 'bog', 'beg', 'bug', 'bat', 'ba', 'brag']"
baker,~~,baker,"['bale', 'baker', 'basket', 'banker', 'bakers', 'bake', 'bakery', 'beaker', 'backer', 'baked']"
bank,~~,bank,"['shank', 'banks', 'bone', 'bank', 'sink', 'blank', 'back', 'bench', 'baby', 'rank']"
barn,~~,barn,"['yarn', 'bend', 'bark', 'vary', 'beam', 'morn', 'both', 'barn', 'harm', 'form']"
be,~~,be,"['a', 'bad', 'the', 'be', 'in', 'able', 'by', 'ne', 've', 'ba']"
beach,~~,beach,"['breach', 'beam', 'beach', 'beech', 'beachy', 'brash', 'bracho', 'brac', 'broach', 'branch']"
beau,~~,beau,"['you', 'beau', 'brau', 'bray', 'beaux', 'beak', 'beady', 'braue', 'bay', 'neu']"
bed,~~,bed,"['and', 'bed', 'his', 'bet', 'bud', 'bad', 'bid', 'bee', 'it', 'bred']"
bed,~~,bed,"['bame', 'lid', 'bid', 'bed', 'net', 'and', 'bases', 'bad', 'bar', 'news']"
bed,~~,bed,"['bass', 'bed', 'bet', 'bud', 'bad', 'bid', 'bee', 'bred', 'beds', 'bled']"
bed,~~,bed,"['need', 'bid', 'back', 'aid', 'bed', 'knee', 'feed', 'news', 'and', 'neck']"
bed,~~,bed,"['his', 'and', 'had', 'as', 'one', 'bed', 'bet', 'bud', 'bad', 'bid']"
ben,~~,ben,"['but', 'ben', 'bun', 'bin', 'ban', 'bien', 'bene', 'be', 'bent', 'bend']"
bend,~~,bend,"['beds', 'and', 'bend', 'bed', 'bent', 'band', 'bind', 'bene', 'bends', 'blend']"
best,~~,best,"['but', 'best', 'beat', 'nest', 'vest', 'be', 'bust', 'blest', 'bet', 'beast']"
best,~~,best,"['but', 'best', 'beat', 'nest', 'vest', 'by', 'just', 'bust', 'blest', 'bet']"
best,~~,best,"['head', 'best', 'beat', 'nest', 'vest', 'bust', 'blest', 'bet', 'beast', 'brat']"
big,~~,big,"['but', 'big', 'bog', 'bug', 'boy', 'beg', 'bib', 'bit', 'of', 'brig']"
big,~~,big,"['in', 'dig', 'big', 'bog', 'bug', 'beg', 'bib', 'bit', 'brig', 'bi']"
big,~~,big,"['in', 'big', 'of', 'bog', 'bug', 'beg', 'bib', 'bit', 'brig', 'bi']"
big,~~,big,"['in', 'big', 'it', 'bog', 'bug', 'beg', 'bib', 'bit', 'but', 'brig']"
big,~~,big,"['but', 'in', 'of', 'by', 'big', 'night', 'bit', 'bog', 'bug', 'dog']"
big,~~,big,"['but', 'in', 'of', 'by', 'big', 'night', 'bit', 'bog', 'bug', 'dog']"
bill,~~,bill,"['hell', 'bull', 'bill', 'villa', 'nill', 'bell', 'bulk', 'ill', 'bills', 'null']"
bill,~~,bill,"['will', 'bill', 'bull', 'nill', 'bell', 'bills', 'bulk', 'null', 'bolo', 'viol']"
bit,~~,bit,"['but', 'bit', 'bet', 'bid', 'big', 'bite', 'boy', 'bait', 'buit', 'buy']"
bit,~~,bit,"['not', 'body', 'nod', 'vital', 'bit', 'cut', 'vote', 'lot', 'boy', 'god']"
bit,~~,bit,"['but', 'bit', 'bet', 'bid', 'big', 'bite', 'boy', 'bait', 'buit', 'buy']"
bob,~~,bob,"['not', 'in', 'of', 'bob', 'bon', 'bib', 'bog', 'bobs', 'bomb', 'bo']"
bob,~~,bob,"['go', 'not', 'bow', 'bob', 'in', 'bon', 'bib', 'bog', 'one', 'no']"
bob,~~,bob,"['van', 'bank', 'i', 'von', 'of', 'boy', 'no', 'bin', 'bob', 'bad']"
bob,~~,bob,"['in', 'bob', 'bon', 'bib', 'bog', 'bobs', 'bomb', 'bo', 'bin', 'blob']"
bob,~~,bob,"['an', 'bob', 'bon', 'bib', 'bog', 'no', 'in', 'bobs', 'bomb', 'bo']"
bob,~~,bob,"['go', 'buy', 'bob', 'one', 'bon', 'bib', 'bog', 'burn', 'bobs', 'bomb']"
bob,~~,bob,"['big', 'bob', 'bon', 'bib', 'bog', 'bobs', 'bomb', 'bo', 'bin', 'blob']"
bob,~~,bob,"['an', 'bob', 'bon', 'bib', 'bog', 'bobs', 'bomb', 'bo', 'bin', 'blob']"
bob,~~,bob,"['in', 'no', 'bob', 'bon', 'bib', 'of', 'bog', 'bobs', 'bomb', 'bo']"
bob,~~,bob,"['ban', 'boy', 'bob', 'nor', 'bon', 'bib', 'of', 'oh', 'both', 'bog']"
bob,~~,bob,"['boy', 'bob', 'bon', 'bib', 'bog', 'bobs', 'bomb', 'bo', 'bin', 'blob']"
bob,~~,bob,"['in', 'bob', 'bon', 'bib', 'bog', 'bobs', 'bomb', 'bo', 'bin', 'blob']"
body,~~,body,"['boss', 'vote', 'note', 'boat', 'body', 'navy', 'boy', 'base', 'bone', 'host']"
bored,~~,bored,"['tired', 'bored', 'bores', 'bared', 'borad', 'bred', 'bore', 'noted', 'voted', 'bated']"
both,~~,both,"['got', 'but', 'not', 'with', 'both', 'by', 'it', 'bath', 'or', 'bothe']"
box,~~,box,"['not', 'go', 'box', 'biz', 'bo', 'boxy', 'boa', 'nux', 'nos', 'vos']"
boy,~~,boy,"['but', 'buy', 'by', 'boy', 'bow', 'not', 'at', 'boat', 'body', 'bay']"
boy,~~,boy,"['lot', 'unit', 'dot', 'bit', 'box', 'joy', 'nod', 'body', 'way', 'boy']"
boy,~~,boy,"['it', 'hat', 'lay', 'boat', 'vote', 'boy', 'note', 'bone', 'navy', 'body']"
boy,~~,boy,"['fat', 'day', 'guy', 'big', 'baby', 'boy', 'buy', 'bay', 'bogy', 'bouy']"
boy,~~,boy,"['it', 'fit', 'hay', 'body', 'pay', 'bye', 'unit', 'boat', 'our', 'boy']"
boys,~~,boys,"['not', 'boys', 'bays', 'bois', 'buys', 'boy's', 'boy', 'boys'', 'bits', 'buoys']"
boys,~~,boys,"['not', 'boys', 'bays', 'bois', 'buys', 'no', 'boy's', 'boy', 'boys'', 'bits']"
boys,~~,boys,"['enjoys', 'huts', 'by', 'boughs', 'is', 'vow', 'got', 'boys', 'goats', 'bows']"
brook,~~,brook,"['roll', 'break', 'book', 'room', 'brook', 'brok', 'broil', 'brooks', 'broom', 'took']"
brown,~~,brown,"['grown', 'brown', 'brawn', 'brow', 'browny', 'broken', 'brawny', 'bran', 'blown', 'brows']"
bull,~~,bull,"['pull', 'call', 'hill', 'fall', 'book', 'well', 'bull', 'bold', 'null', 'bill']"
but,~~,but,"['had', 'got', 'put', 'bent', 'but', 'fed', 'set', 'it', 'cut', 'be']"
but,~~,but,"['nut', 'ist', 'bet', 'but', 'bare', 'bye', 'be', 'guy', 'sit', 'bit']"
but,~~,but,"['nut', 'ist', 'bet', 'but', 'bare', 'bye', 'be', 'guy', 'sit', 'bit']"
but,~~,but,"['huh', 'bed', 'sit', 'vote', 'but', 'ay', 'built', 'bit', 'buy', 'nut']"
but,~~,but,"['not', 'it', 'no', 'but', 'buy', 'bit', 'nut', 'had', 'bet', 'bud']"
but,~~,but,"['bind', 'put', 'bear', 'beat', 'shut', 'but', 'burn', 'get', 'cut', 'about']"
but,~~,but,"['huh', 'bed', 'sit', 'vote', 'but', 'ay', 'built', 'bit', 'buy', 'nut']"
but,~~,but,"['baite', 'wot', 'had', 'but', 'be', 'it', 'obey', 'buy', 'bit', 'nut']"
but,~~,but,"['for', 'by', 'or', 'but', 'yet', 'buy', 'bit', 'nut', 'bet', 'bud']"
but,~~,but,"['for', 'at', 'about', 'but', 'buy', 'bit', 'nut', 'bet', 'bud', 'bat']"
but,~~,but,"['or', 'be', 'next', 'but', 'buy', 'bit', 'nut', 'bet', 'bud', 'bat']"
by,~~,by,"['to', 'on', 'he', 'by', 'up', 'bu', 'ny', 'be', 'bi', 'bye']"
by,~~,by,"['not', 'we', 'in', 'by', 'to', 'ye', 'bu', 'ny', 'very', 'be']"
by,~~,by,"['to', 'be', 'any', 'by', 'bu', 'ny', 'bi', 'bye', 'boy', 'b']"
by,~~,by,"['to', 'in', 'on', 'by', 'at', 'he', 'bu', 'ny', 'be', 'bi']"
by,~~,by,"['on', 'in', 'at', 'by', 'bu', 'ny', 'be', 'bi', 'bye', 'boy']"
cab,~~,cab,"['cage', 'club', 'calf', 'and', 'cab', 'dog', 'can', 'cub', 'cob', 'coin']"
cafe,~~,cafe,"['safe', 'cafe', 'cage', 'cape', 'cave', 'care', 'cafes', 'chafe', 'caf', 'vade']"
calf,~~,calf,"['call', 'cat', 'cold', 'calf', 'card', 'car', 'cal', 'caf', 'self', 'calda']"
calls,~~,calls,"['all', 'called', 'calls', 'falls', 'cells', 'call', 'cals', 'calles', 'sells', 'cools']"
came,~~,came,"['and', 'saw', 'am', 'became', 'can', 'came', 'cane', 'come', 'same', 'camel']"
camp,~~,camp,"['calf', 'camp', 'camps', 'cramp', 'cap', 'cam', 'scamp', 'can', 'vamps', 'vap']"
can,~~,can,"['came', 'come', 'and', 'can', 'say', 'do', 'cam', 'cab', 'van', 've']"
cane,~~,cane,"['can', 'cane', 'came', 'vane', 'cone', 'cany', 'sane', 'come', 'canes', 'canoe']"
car,~~,car,"['of', 'car', 'cat', 'cur', 'cor', 'caf', 'char', 'czar', 'ca', 'cars']"
car,~~,car,"['of', 'car', 'cat', 'cur', 'cor', 'caf', 'char', 'czar', 'ca', 'cars']"
car,~~,car,"['van', 'de', 'of', 'car', 'cage', 'seat', 'same', 'cat', 'vary', 'cur']"
car,~~,car,"['seer', 'at', 'of', 'car', 'over', 'for', 'do', 'cat', 'cor', 'cur']"
car,~~,car,"['for', 'dart', 'dale', 'of', 'at', 'car', 'set', 'saw', 'hat', 'cat']"
car,~~,car,"['for', 'crane', 'of', 'dart', 'at', 'car', 'set', 'saw', 'hat', 'cat']"
car,~~,car,"['saw', 'see', 'at', 'of', 'for', 'aft', 'car', 'set', 'or', 'are']"
car,~~,car,"['a', 'car', 'at', 'cat', 'very', 'cur', 'cor', 'so', 'far', 'caf']"
cat,~~,cat,"['dear', 'cat', 'bad', 'car', 'vat', 'fat', 'cut', 'cot', 'cad', 'sat']"
cat,~~,cat,"['wet', 'act', 'war', 'hot', 'cat', 'vari', 'car', 'vat', 'may', 'cut']"
cats,~~,cats,"['vote', 'car', 'cast', 'data', 'cats', 'case', 'cars', 'vats', 'cots', 'cuts']"
cattle,~~,cattle,"['rattle', 'cattle', 'settled', 'cuttle', 'candle', 'kettle', 'settle', 'bottle', 'carte', 'scuttle']"
caves,~~,caves,"['vales', 'caves', 'cover', 'waves', 'cave', 'card', 'faces', 'says', 'carved', 'staves']"
cheeks,~~,cheeks,"['knees', 'heel', 'heels', 'cheeks', 'cheek', 'cheekes', 'cheeke', 'sheiks', 'wheels', 'cheeked']"
chicken,~~,chicken,"['chosen', 'chicken', 'chickens', 'sicken', 'chick', 'chien', 'chicks', 'checkin'', 'checking', 'chuckle']"
china,~~,china,"['him', 'china', 'his', 'chins', 'chin', 'chime', 'shine', 'chums', 'chines', 'chinks']"
climb,~~,climb,"['climbed', 'climb', 'clomb', 'climbs', 'climbe', 'cling', 'club', 'comb', 'slim', 'clime']"
cold,~~,cold,"['of', 'cold', 'colt', 'sold', 'could', 'colds', 'colde', 'cod', 'col', 'scold']"
come,~~,come,"['some', 'time', 'become', 'come', 'cone', 'done', 'came', 'com', 'comet', 'comes']"
come,~~,come,"['or', 'came', 'on', 'come', 'cone', 'some', 'cometh', 'com', 'comet', 'comes']"
comes,~~,comes,"['came', 'cares', 'come', 'comes', 'cones', 'comas', 'does', 'cines', 'comets', 'comest']"
coming,~~,coming,"['doing', 'coming', 'coning', 'comings', 'comming', 'combing', 'comin', 'coking', 'conning', 'comon']"
corners,~~,corners,"['corner', 'corners', 'cornets', 'scorners', 'corned', 'cornet', 'cornered', 'comers', 'corkers', 'corner-']"
crying,~~,crying,"['trying', 'saying', 'dying', 'crying', 'driving', 'seeing', 'vying', 'varying', 'carrying', 'caring']"
cut,~~,cut,"['not', 'it', 'kept', 'at', 'cut', 'cur', 'cud', 'cot', 'cat', 'sut']"
dad,~~,dad,"['and', 'to', 'said', 'dad', 'das', 'fad', 'sad', 'dud', 'dat', 'dado']"
dad,~~,dad,"['dear', 'dad', 'das', 'fad', 'sad', 'dud', 'dat', 'dead', 'dado', 'da']"
dad,~~,dad,"['dyed', 'dad', 'dear', 'das', 'fad', 'sad', 'head', 'dud', 'dat', 'dado']"
dad,~~,dad,"['said', 'dad', 'was', 'sad', 'das', 'fad', 'dat', 'dud', 'and', 'of']"
dad,~~,dad,"['and', 'that', 'of', 'as', 's', 'was', 'dad', 'das', 'fad', 'sad']"
dad,~~,dad,"['had', 'a', 'deep', 'as', 'at', 'dad', 'das', 'fad', 'sad', 'dud']"
dad,~~,dad,"['dear', 'dad', 'das', 'fad', 'sad', 'dud', 'dat', 'fur', 'dead', 'dado']"
dad,~~,dad,"['of', 'for', 'to', 'dad', 'that', 'day', 'and', 'das', 'fad', 'sad']"
dad,~~,dad,"['dear', 'dad', 'das', 'fad', 'sad', 'dud', 'dat', 'dead', 'head', 'dado']"
dad,~~,dad,"['and', 'to', 'that', 'for', 'dad', 'das', 'fad', 'sad', 'dud', 'dat']"
dad,~~,dad,"['dear', 'dad', 'das', 'fad', 'sad', 'dud', 'dat', 'dead', 'dado', 'da']"
dad,~~,dad,"['of', 'dad', 'das', 'fad', 'sad', 'dud', 'dat', 'dado', 'da', 'dead']"
dad,~~,dad,"['for', 'said', 'and', 'to', 'dad', 'as', 'that', 'das', 'fad', 'sad']"
dad,~~,dad,"['and', 'a', 'for', 'said', 'dad', 'das', 'fad', 'sad', 'dud', 'dat']"
dance,~~,dance,"['take', 'deny', 'dance', 'dunce', 'danke', 'danced', 'dances', 'dancer', 'fence', 'fancy']"
day,~~,day,"['a', 'said', 'data', 'day', 'that', 's', 'at', 'dat', 'say', 'to']"
day,~~,day,"['at', 'saw', 'came', 'day', 'said', 'that', 'take', 'way', 'dat', 'say']"
day,~~,day,"['at', 'saw', 'came', 'day', 'said', 'that', 'take', 'way', 'dat', 'say']"
day,~~,day,"['at', 'saw', 'came', 'day', 'said', 'that', 'take', 'way', 'dat', 'say']"
day,~~,day,"['try', 'key', 'say', 'way', 'deed', 'hay', 'tape', 'ways', 'cut', 'day']"
day,~~,day,"['at', 'saw', 'came', 'day', 'said', 'that', 'take', 'way', 'dat', 'say']"
days,~~,days,"['at', 'days', 'way', 'says', 'dais', 'did', 'data', 'drays', 'days'', 'das']"
dead,~~,dead,"['was', 'dead', 'deaf', 'deed', 'dread', 'dad', 'seas', 'dear', 'drat', 'feat']"
decided,~~,decided,"['despised', 'decided', 'decides', 'decide', 'devised', 'divided', 'seceded', 'divides', 'devoted', 'derided']"
den,~~,den,"['in', 'own', 'turn', 'dream', 'den', 'day', 'sun', 'van', 'sin', 'tent']"
dew,~~,dew,"['din', 'she', 'jaw', 'deal', 'fire', 'dew', 'eye', 'sea', 'few', 'sew']"
dew,~~,dew,"['date', 'dew', 'de', 'drew', 'eye', 'few', 'deal', 'sew', 'sea', 'crew']"
did,~~,did,"['is', 'do', 'said', 'does', 'did', 'its', 'city', 'dud', 'dis', 'die']"
did,~~,did,"['is', 'of', 'doth', 'for', 'tis', 'did', 'to', 'it', 'do', 'see']"
did,~~,did,"['of', 'see', 'file', 'to', 'for', 'did', 'if', 'said', 'dud', 'dis']"
died,~~,died,"['is', 'died', 'dies', 'dyed', 'diet', 'deed', 'tied', 'said', 'dues', 'dived']"
